193.29.13.22 - - [09/Jan/2022:22:05:33 +0700] "-" 400 2286
14.248.68.93 - - [09/Jan/2022:22:09:12 +0700] "GET /hrm-web/index.html HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:12 +0700] "GET /hrm-web/index.html HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:12 +0700] "GET /hrm-web/index.html HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:12 +0700] "GET /hrm-web/polyfills.b3907014be173027c658.js HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:12 +0700] "GET /hrm-web/runtime.a5e0310be50bf83c8903.js HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:12 +0700] "GET /hrm-web/main.104ca9687a5d7cbd2caf.js HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:13 +0700] "GET /hrm-web/styles.31311042c05ba23bcda8.css HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:13 +0700] "GET /hrm-web/54.831dac3db8bc9de9dbc3.js HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:13 +0700] "GET /hrm-web/i18n/en.json?_=a93c82e6b05ceb08b024604d60fcfabd HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:13 +0700] "GET /hrm-web/content/images/icon_default.jpg HTTP/1.1" 304 -
14.248.68.93 - - [09/Jan/2022:22:09:13 +0700] "GET /content/images/Rectangle%209.png HTTP/1.1" 404 1078
14.248.68.93 - - [09/Jan/2022:22:14:39 +0700] "GET /hrm-web/index.html?code=eyJyZWRpcmVjdF91cmkiOiIxMDMuMjI2LjI0OC4xNjg6ODA5Ny9ocm0td2ViL2xvZ2luIiwidXNlciI6ImFkbWluIiwiY2xpZW50X2lkIjoibGlmZXN1cF9ocm0ifQ== HTTP/1.1" 200 13570
14.248.68.93 - - [09/Jan/2022:22:14:39 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 1078
14.248.68.93 - - [09/Jan/2022:22:14:39 +0700] "GET /content/images/Rectangle%209.png HTTP/1.1" 404 1078
183.80.140.50 - - [09/Jan/2022:22:35:54 +0700] "GET /hrm-web HTTP/1.1" 302 -
183.80.140.50 - - [09/Jan/2022:22:35:54 +0700] "GET /hrm-web/ HTTP/1.1" 200 13570
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13570
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13570
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/runtime.a5e0310be50bf83c8903.js HTTP/1.1" 200 2811
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/content/css/loading.css HTTP/1.1" 200 3629
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/polyfills.b3907014be173027c658.js HTTP/1.1" 200 37770
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/main.104ca9687a5d7cbd2caf.js HTTP/1.1" 200 172
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/styles.31311042c05ba23bcda8.css HTTP/1.1" 200 299582
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/content/images/logo-jhipster.png HTTP/1.1" 200 605
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/54.831dac3db8bc9de9dbc3.js HTTP/1.1" 200 1156026
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /hrm-web/i18n/en.json?_=a93c82e6b05ceb08b024604d60fcfabd HTTP/1.1" 200 11509
183.80.140.50 - - [09/Jan/2022:22:35:55 +0700] "GET /content/images/Rectangle%209.png HTTP/1.1" 404 998
183.80.140.50 - - [09/Jan/2022:22:36:05 +0700] "GET /hrm-web/index.html?code=eyJyZWRpcmVjdF91cmkiOiIxMDMuMjI2LjI0OC4xNjg6ODA5Ny9ocm0td2ViL2xvZ2luIiwidXNlciI6ImFkbWluIiwiY2xpZW50X2lkIjoibGlmZXN1cF9ocm0ifQ== HTTP/1.1" 200 13570
183.80.140.50 - - [09/Jan/2022:22:36:05 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 998
