167.94.138.113 - - [05/Jan/2022:00:51:37 +0700] "GET / HTTP/1.1" 404 1078
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/index.html?code=eyJyZWRpcmVjdF91cmkiOiIxMDMuMjI2LjI0OC4xNjg6ODA5Ny9ocm0td2ViL2xvZ2luIiwidXNlciI6ImFkbWluIiwiY2xpZW50X2lkIjoibGlmZXN1cF9ocm0ifQ== HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/index.html HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/index.html HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/runtime.439ec35a50d492bb7428.js HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/polyfills.b3907014be173027c658.js HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/main.104ca9687a5d7cbd2caf.js HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:01 +0700] "GET /hrm-web/styles.5317eb3c33f42b049e2e.css HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:02 +0700] "GET /hrm-web/54.b90b2d1ab83d0ca5eca0.js HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:02 +0700] "GET /hrm-web/i18n/en.json?_=a93c82e6b05ceb08b024604d60fcfabd HTTP/1.1" 304 -
27.72.63.36 - - [05/Jan/2022:08:45:02 +0700] "GET /content/images/Rectangle%209.png HTTP/1.1" 404 1078
27.72.63.36 - - [05/Jan/2022:08:48:16 +0700] "GET /content/images/Rectangle%209.png HTTP/1.1" 404 1078
27.72.63.36 - - [05/Jan/2022:08:50:02 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 1078
