167.248.133.120 - - [09/Feb/2022:07:45:08 +0700] "GET / HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web HTTP/1.1" 302 -
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/ HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/runtime.d8a2d3180b131c299579.js HTTP/1.1" 200 2812
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/polyfills.b3907014be173027c658.js HTTP/1.1" 200 37770
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/main.1ed20bd2b921e34dcc80.js HTTP/1.1" 200 173
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/content/css/loading.css HTTP/1.1" 200 3629
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/styles.a6357d47ea8c142484c2.css HTTP/1.1" 200 300015
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/629.8bb85c39ac372040a126.js HTTP/1.1" 200 1730705
27.72.63.36 - - [09/Feb/2022:08:56:15 +0700] "GET /hrm-web/content/images/logo-jhipster.png HTTP/1.1" 200 605
27.72.63.36 - - [09/Feb/2022:08:56:17 +0700] "GET /hrm-web/i18n/en.json?_=57e8c4e032f507f59d85870eeeea8ae2 HTTP/1.1" 200 11624
27.72.63.36 - - [09/Feb/2022:08:56:18 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:08:56:18 +0700] "GET /hrm-web/content/images/dua_hau.png HTTP/1.1" 200 17862
27.72.63.36 - - [09/Feb/2022:08:56:18 +0700] "GET /hrm-web/content/images/icon_default.jpg HTTP/1.1" 200 9776
27.72.63.36 - - [09/Feb/2022:08:56:18 +0700] "GET /hrm-web/content/images/red_flag.png HTTP/1.1" 200 5274
27.72.63.36 - - [09/Feb/2022:08:56:18 +0700] "GET /hrm-web/primeicons.91bacab1f083f2795272.ttf HTTP/1.1" 200 66644
27.72.63.36 - - [09/Feb/2022:08:56:31 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:08:57:20 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:08:57:21 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:08:57:21 +0700] "GET /hrm-web/favicon.ico HTTP/1.1" 200 1574
27.72.63.36 - - [09/Feb/2022:09:10:26 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/runtime.d8a2d3180b131c299579.js HTTP/1.1" 200 2812
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/polyfills.b3907014be173027c658.js HTTP/1.1" 200 37770
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/main.1ed20bd2b921e34dcc80.js HTTP/1.1" 200 173
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/content/css/loading.css HTTP/1.1" 200 3629
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/styles.a6357d47ea8c142484c2.css HTTP/1.1" 200 300015
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/content/images/logo-jhipster.png HTTP/1.1" 200 605
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/629.8bb85c39ac372040a126.js HTTP/1.1" 200 1730705
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/i18n/en.json?_=57e8c4e032f507f59d85870eeeea8ae2 HTTP/1.1" 200 11624
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/content/images/red_flag.png HTTP/1.1" 200 5274
27.72.63.36 - - [09/Feb/2022:09:10:27 +0700] "GET /hrm-web/content/images/dua_hau.png HTTP/1.1" 200 17862
27.72.63.36 - - [09/Feb/2022:09:10:28 +0700] "GET /hrm-web/content/images/icon_default.jpg HTTP/1.1" 200 9776
27.72.63.36 - - [09/Feb/2022:09:10:28 +0700] "GET /hrm-web/primeicons.91bacab1f083f2795272.ttf HTTP/1.1" 200 66644
27.72.63.36 - - [09/Feb/2022:09:10:28 +0700] "GET /hrm-web/favicon.ico HTTP/1.1" 200 1574
27.72.63.36 - - [09/Feb/2022:09:28:31 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:28:38 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:09:42:14 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [09/Feb/2022:09:46:17 +0700] "GET /hrm-web/content/images/icon_default.jpg HTTP/1.1" 200 9776
27.72.63.36 - - [09/Feb/2022:09:46:27 +0700] "GET /hrm-web/index.html?code=eyJyZWRpcmVjdF91cmkiOiIxMDMuMjI2LjI0OC4xNjg6ODA5Ny9ocm0td2ViL2xvZ2luIiwidXNlciI6ImFkbWluIiwiY2xpZW50X2lkIjoibGlmZXN1cF9ocm0ifQ== HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:46:27 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:46:27 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13784
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/runtime.d8a2d3180b131c299579.js HTTP/1.1" 200 2812
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/polyfills.b3907014be173027c658.js HTTP/1.1" 200 37770
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/main.1ed20bd2b921e34dcc80.js HTTP/1.1" 200 173
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/content/css/loading.css HTTP/1.1" 200 3629
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/styles.a6357d47ea8c142484c2.css HTTP/1.1" 200 300015
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/content/images/logo-jhipster.png HTTP/1.1" 200 605
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/629.8bb85c39ac372040a126.js HTTP/1.1" 200 1730705
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /hrm-web/i18n/en.json?_=57e8c4e032f507f59d85870eeeea8ae2 HTTP/1.1" 200 11624
27.72.63.36 - - [09/Feb/2022:09:46:28 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
