27.72.63.36 - - [21/Jan/2022:09:55:32 +0700] "GET /hrm-web/content/images/icon_default.jpg HTTP/1.1" 200 9776
27.72.63.36 - - [21/Jan/2022:09:55:32 +0700] "GET /hrm-web/primeicons.91bacab1f083f2795272.ttf HTTP/1.1" 200 66644
27.72.63.36 - - [21/Jan/2022:09:55:32 +0700] "GET /hrm-web/content/images/icon_default.jpg HTTP/1.1" 200 9776
27.72.63.36 - - [21/Jan/2022:09:59:01 +0700] "GET /hrm-web/index.html?code=eyJyZWRpcmVjdF91cmkiOiIxMDMuMjI2LjI0OC4xNjg6ODA5Ny9ocm0td2ViL2xvZ2luIiwidXNlciI6ImFkbWluIiwiY2xpZW50X2lkIjoibGlmZXN1cF9ocm0ifQ== HTTP/1.1" 200 13570
27.72.63.36 - - [21/Jan/2022:09:59:01 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 1078
27.72.63.36 - - [21/Jan/2022:09:59:01 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [21/Jan/2022:09:59:33 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 1078
27.72.63.36 - - [21/Jan/2022:09:59:33 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [21/Jan/2022:10:39:41 +0700] "GET /images/logo-jhipster.png HTTP/1.1" 404 1078
27.72.63.36 - - [21/Jan/2022:10:39:41 +0700] "GET /content/images/icons.svg HTTP/1.1" 404 1078
27.72.63.36 - - [21/Jan/2022:10:46:35 +0700] "GET /hrm-web/index.html?code=eyJyZWRpcmVjdF91cmkiOiIxMDMuMjI2LjI0OC4xNjg6ODA5Ny9ocm0td2ViL2xvZ2luIiwidXNlciI6ImFkbWluIiwiY2xpZW50X2lkIjoibGlmZXN1cF9ocm0ifQ== HTTP/1.1" 200 13570
27.72.63.36 - - [21/Jan/2022:10:46:35 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13570
27.72.63.36 - - [21/Jan/2022:10:46:35 +0700] "GET /hrm-web/index.html HTTP/1.1" 200 13570
